Diện tích,Giá
30.0,448.524
32.4138,509.24800000000005
34.8276,535.104
37.2414,551.432
39.6552,623.418
42.068999999999996,625.992
44.4828,655.248
46.8966,701.377
49.3103,748.918
51.7241,757.8810000000001
54.1379,831.0039999999999
56.5517,855.409
58.9655,866.707
61.3793,902.545
63.7931,952.2610000000001
66.2069,995.5310000000001
68.6207,1069.78
71.0345,1074.42
73.4483,1103.88
75.8621,1138.69
78.2759,1153.13
80.6897,1240.27
83.1034,1251.9
85.5172,1287.97
87.931,1320.47
90.3448,1374.92
92.7586,1410.16
95.1724,1469.69
97.5862,1478.54
100.0,1515.28
